Date,AAPL,MSFT,GOOGL,JPM,XOM,JNJ,AMZN,BRK-B
2020-01-02,75.9237450191352,158.95682675647757,67.7625142850753,135.74281287687015,70.21478113037857,142.57282274413762,91.12257114723569,219.71309750135208
2020-01-03,75.79824870695298,161.85056993345395,66.96164925165498,134.36644723786,70.47001696536906,144.5399399160713,92.26466775735699,216.19050862798719
2020-01-06,76.98358450408249,163.45317946043377,66.46203680797257,135.24557490771153,69.11107153445467,142.89557572385195,92.24457552045295,216.56325069794332
2020-01-07,79.66996869759365,165.98883773382545,67.29094174538658,132.87942029217353,70.53189688339546,142.109243658851,90.13269440971582,212.85294998699732
2020-01-08,79.37021160713368,166.4522219005571,68.78376361790357,134.5694217992409,70.71177078372483,142.10844595275327,93.93503716287866,214.2711040243864
2020-01-09,79.07161101614524,163.97585958977447,71.0469310823286,132.83603751150235,69.92272112149524,144.70736663170362,94.49595580597048,220.1168116077486
2020-01-10,81.92859253022138,158.10089871963524,71.21141019892121,134.6437933388414,69.39288421891627,148.82523842464983,94.44029489389276,217.6910560469793
2020-01-13,83.42562888087171,156.09387248593674,71.8266072627899,133.8191700094333,69.72003183406171,153.22399625358165,95.45853010912035,213.4142022034636
2020-01-14,82.67984150029108,165.52605603954237,72.19627606640042,132.22311819718968,68.18272737308207,150.13020923478555,91.90459537468115,217.4493099265269
2020-01-15,83.78156773846365,164.00712449909557,69.60875995239309,135.72997057116152,69.16808959993936,149.28155509440361,89.45297763566886,223.72647398312407
2020-01-16,83.04376208891476,157.18464978112837,69.1116648821373,136.21119095763387,69.45531079996488,147.9832947771927,88.86938509841582,219.40093453423833
2020-01-17,82.30822972860081,159.95522138294905,68.62511202932204,135.60632933338255,71.2227997747039,148.90706663784195,89.5585216583889,219.21021303760406
2020-01-20,82.86068741147662,163.2068001925155,67.9219915749271,137.34821143520344,71.33947446786583,149.6912085657953,92.14099598657752,221.0479273906279
2020-01-21,79.48798594131897,168.07510776445255,67.92819952693914,134.50159127259022,70.12902467143284,148.34240556393965,90.42029824575258,220.25903631567232
2020-01-22,76.58196054453704,170.0700691363616,67.66759239992885,136.97966246302028,68.81284133820621,146.81840656380177,88.2774494577307,214.2172113881613
2020-01-23,75.74098058828828,173.49037717911816,66.26639108438738,136.77188765800793,68.40997900655529,144.52194946693444,89.32133302200712,209.63910061342054
2020-01-24,74.1584943057227,180.7757088785769,66.11195676345953,138.18431578273737,68.12528055796625,138.43047398843265,89.12517395715047,205.51142135526197
2020-01-27,74.77418261302745,178.08351019223323,65.24806883327477,134.8607495033636,67.53399658408405,135.59913166358066,85.42876209337909,202.2136972237775
2020-01-28,73.38430696755337,174.65419539088964,61.5529874060795,134.13189058865797,67.69962465101749,137.52272127811833,83.77053774199874,202.61506270233596
